method,resolution,seed_group,q,q_set,window_start,window_end,quantity,alpha,beta,T_est,R2_fit,n_points,valid_fit,invalid_reason
LDG,320,-,0.2,"0.2,0.3",6e-05,0.00011,Rq2,0.00011125293427270762,1.0085542200037563,0.0001103093240463495,0.8957736447584832,101,False,R2<0.9 (curved)
LDG,320,-,0.2,"0.2,0.3",7e-05,0.00012,Rq2,7.436063993115725e-05,0.6078925155295822,0.0001223253092142053,0.9248405412661564,101,True,
LDG,320,-,0.3,"0.2,0.3",4e-05,9e-05,Rq2,0.00045539252004857565,5.2767977740589425,8.630092331514255e-05,0.8622545051319537,101,False,R2<0.9 (curved)
LDG,320,-,0.3,"0.2,0.3",5e-05,0.0001,Rq2,0.0002806007041994276,2.848782893634624,9.849845168138551e-05,0.8837792391521673,101,False,R2<0.9 (curved)
LDG,320,-,0.3,"0.2,0.3",6e-05,0.00011,Rq2,0.000184179824593886,1.6697578971941136,0.00011030331097902551,0.9030362772292277,101,True,
LDG,320,-,0.3,"0.2,0.3",7e-05,0.00012,Rq2,0.00012369551630563125,1.0110848559784882,0.00012233940165776055,0.9171290618286281,101,True,
LDG,320,-,0.2,0.2,4e-05,9e-05,Rq2,0.0002685094852471515,3.1003076054166603,8.660736914557407e-05,0.8613541014916581,101,False,R2<0.9 (curved)
LDG,320,-,0.2,0.2,5e-05,0.0001,Rq2,0.00016690915440659113,1.6913330272267606,9.868497316596968e-05,0.8894803634614348,101,False,R2<0.9 (curved)
LDG,320,-,0.2,0.2,6e-05,0.00011,Rq2,0.00011125293427270762,1.0085542200037563,0.0001103093240463495,0.8957736447584832,101,False,R2<0.9 (curved)
LDG,320,-,0.2,0.2,7e-05,0.00012,Rq2,7.436063993115725e-05,0.6078925155295822,0.0001223253092142053,0.9248405412661564,101,True,
LDG,320,-,0.3,0.3,4e-05,9e-05,Rq2,0.00045539252004857565,5.2767977740589425,8.630092331514255e-05,0.8622545051319537,101,False,R2<0.9 (curved)
LDG,320,-,0.3,0.3,5e-05,0.0001,Rq2,0.0002806007041994276,2.848782893634624,9.849845168138551e-05,0.8837792391521673,101,False,R2<0.9 (curved)
LDG,320,-,0.3,0.3,6e-05,0.00011,Rq2,0.000184179824593886,1.6697578971941136,0.00011030331097902551,0.9030362772292277,101,True,
LDG,320,-,0.3,0.3,7e-05,0.00012,Rq2,0.00012369551630563125,1.0110848559784882,0.00012233940165776055,0.9171290618286281,101,True,
LDG,320,ens,-1,,4e-05,9e-05,L2,1.0045444237741232e-05,0.1170438246611686,8.58263498037756e-05,0.8631991790712421,101,False,R2<0.9 (curved)
LDG,320,ens,-1,,5e-05,0.0001,L2,6.16376587985884e-06,0.06306400027107631,9.773826356343259e-05,0.880051552739647,101,False,R2<0.9 (curved)
LDG,320,ens,-1,,6e-05,0.00011,L2,3.9759561215728e-06,0.036293937395082326,0.00010954876783667802,0.8979371663103872,101,False,R2<0.9 (curved)
LDG,320,ens,-1,,7e-05,0.00012,L2,2.6038847839628335e-06,0.021364690068910393,0.00012187795730076943,0.9204779670327778,101,True,
LDG,320,ens,-2,,4e-05,9e-05,peak,0.00010959412203377838,1.268210783579974,8.641633035512453e-05,0.8685267454330345,101,False,R2<0.9 (curved)
LDG,320,ens,-2,,5e-05,0.0001,peak,6.857501643846004e-05,0.6978683909227122,9.826353697978936e-05,0.8912927344333922,101,False,R2<0.9 (curved)
LDG,320,ens,-2,,6e-05,0.00011,peak,4.547976726232398e-05,0.41501377302945736,0.00010958616368400829,0.9097460430256092,101,False,T<=window_end
LDG,320,ens,-2,,7e-05,0.00012,peak,3.0549330565878085e-05,0.2522940289262943,0.00012108622108850158,0.9269761177429767,101,True,
particle,80000,mean,0.1,"0.1,0.2,0.3",4e-05,9e-05,Rq2,0.00022730945520214635,1.1308803624473718,0.0002010022127453157,0.46226190684083024,50,False,R2<0.9 (curved)
particle,80000,mean,0.1,"0.1,0.2,0.3",5e-05,0.0001,Rq2,0.0002684141319653915,1.61577327273445,0.00016612116099131994,0.701422267578432,50,False,R2<0.9 (curved)
particle,80000,mean,0.1,"0.1,0.2,0.3",6e-05,0.00011,Rq2,0.00021769678102777988,0.9215154848005586,0.00023623778940068,0.3174141356657604,50,False,R2<0.9 (curved)
particle,80000,mean,0.1,"0.1,0.2,0.3",7e-05,0.00012,Rq2,0.00015721308475359386,0.26498098073349674,0.0005932995051886766,0.04181134587137425,51,False,R2<0.9 (curved)
particle,80000,mean,0.2,"0.1,0.2,0.3",4e-05,9e-05,Rq2,0.000362308646668531,2.4078627889651423,0.00015046897536227343,0.9228023196460464,50,True,
particle,80000,mean,0.2,"0.1,0.2,0.3",5e-05,0.0001,Rq2,0.00034473366596575927,2.1231245604870552,0.0001623709095460116,0.823343328842412,50,False,R2<0.9 (curved)
particle,80000,mean,0.2,"0.1,0.2,0.3",6e-05,0.00011,Rq2,0.0002835937525743265,1.2967042842290137,0.00021870349008906365,0.4700896212868281,50,False,R2<0.9 (curved)
particle,80000,mean,0.2,"0.1,0.2,0.3",7e-05,0.00012,Rq2,0.00018392258614106908,0.16731188569878208,0.0010992798591260389,0.01228614974496578,51,False,R2<0.9 (curved)
particle,80000,mean,0.3,"0.1,0.2,0.3",4e-05,9e-05,Rq2,0.0004985174578017036,3.6511550562542365,0.00013653691780297566,0.907877071420498,50,True,
particle,80000,mean,0.3,"0.1,0.2,0.3",5e-05,0.0001,Rq2,0.0004164929047977753,2.5353761845202105,0.00016427262642154682,0.9432486039306757,50,True,
particle,80000,mean,0.3,"0.1,0.2,0.3",6e-05,0.00011,Rq2,0.00034958065640697483,1.6566663026303956,0.00021101452709693143,0.70587828773923,50,False,R2<0.9 (curved)
particle,80000,mean,0.3,"0.1,0.2,0.3",7e-05,0.00012,Rq2,0.00024096914591027223,0.4040879773915308,0.0005963284220079413,0.07136491208230311,51,False,R2<0.9 (curved)
particle,80000,mean,0.2,"0.2,0.3",4e-05,9e-05,Rq2,0.000362308646668531,2.4078627889651423,0.00015046897536227343,0.9228023196460464,50,True,
particle,80000,mean,0.2,"0.2,0.3",5e-05,0.0001,Rq2,0.00034473366596575927,2.1231245604870552,0.0001623709095460116,0.823343328842412,50,False,R2<0.9 (curved)
particle,80000,mean,0.2,"0.2,0.3",6e-05,0.00011,Rq2,0.0002835937525743265,1.2967042842290137,0.00021870349008906365,0.4700896212868281,50,False,R2<0.9 (curved)
particle,80000,mean,0.2,"0.2,0.3",7e-05,0.00012,Rq2,0.00018392258614106908,0.16731188569878208,0.0010992798591260389,0.01228614974496578,51,False,R2<0.9 (curved)
particle,80000,mean,0.3,"0.2,0.3",4e-05,9e-05,Rq2,0.0004985174578017036,3.6511550562542365,0.00013653691780297566,0.907877071420498,50,True,
particle,80000,mean,0.3,"0.2,0.3",5e-05,0.0001,Rq2,0.0004164929047977753,2.5353761845202105,0.00016427262642154682,0.9432486039306757,50,True,
particle,80000,mean,0.3,"0.2,0.3",6e-05,0.00011,Rq2,0.00034958065640697483,1.6566663026303956,0.00021101452709693143,0.70587828773923,50,False,R2<0.9 (curved)
particle,80000,mean,0.3,"0.2,0.3",7e-05,0.00012,Rq2,0.00024096914591027223,0.4040879773915308,0.0005963284220079413,0.07136491208230311,51,False,R2<0.9 (curved)
particle,80000,mean,0.2,0.2,4e-05,9e-05,Rq2,0.000362308646668531,2.4078627889651423,0.00015046897536227343,0.9228023196460464,50,True,
particle,80000,mean,0.2,0.2,5e-05,0.0001,Rq2,0.00034473366596575927,2.1231245604870552,0.0001623709095460116,0.823343328842412,50,False,R2<0.9 (curved)
particle,80000,mean,0.2,0.2,6e-05,0.00011,Rq2,0.0002835937525743265,1.2967042842290137,0.00021870349008906365,0.4700896212868281,50,False,R2<0.9 (curved)
particle,80000,mean,0.2,0.2,7e-05,0.00012,Rq2,0.00018392258614106908,0.16731188569878208,0.0010992798591260389,0.01228614974496578,51,False,R2<0.9 (curved)
particle,80000,mean,0.3,0.3,4e-05,9e-05,Rq2,0.0004985174578017036,3.6511550562542365,0.00013653691780297566,0.907877071420498,50,True,
particle,80000,mean,0.3,0.3,5e-05,0.0001,Rq2,0.0004164929047977753,2.5353761845202105,0.00016427262642154682,0.9432486039306757,50,True,
particle,80000,mean,0.3,0.3,6e-05,0.00011,Rq2,0.00034958065640697483,1.6566663026303956,0.00021101452709693143,0.70587828773923,50,False,R2<0.9 (curved)
particle,80000,mean,0.3,0.3,7e-05,0.00012,Rq2,0.00024096914591027223,0.4040879773915308,0.0005963284220079413,0.07136491208230311,51,False,R2<0.9 (curved)
particle,80000,ens,-1,,4e-05,9e-05,L2,4.913602776290862e-06,0.06149756165621914,7.989914793302961e-05,0.556362007714583,50,False,R2<0.9 (curved)
particle,80000,ens,-1,,5e-05,0.0001,L2,1.2268218751216791e-06,0.012063861206208185,0.00010169396465622003,0.6735519402844121,50,False,R2<0.9 (curved)
particle,80000,ens,-1,,6e-05,0.00011,L2,6.596682606602125e-07,0.005281639804127038,0.00012489838101885557,0.9215389909842221,50,True,
particle,80000,ens,-1,,7e-05,0.00012,L2,4.722103404122119e-07,0.0031699399159073873,0.00014896507597590944,0.7780712611293185,51,False,R2<0.9 (curved)
particle,320000,mean,0.1,"0.1,0.2,0.3",4e-05,9e-05,Rq2,0.00011667557498180332,0.7786909720221348,0.0001498355306198243,0.6034296651527566,50,False,R2<0.9 (curved)
particle,320000,mean,0.1,"0.1,0.2,0.3",5e-05,0.0001,Rq2,0.00010365970408360619,0.6431245157231379,0.00016118139108264255,0.5839101085149818,50,False,R2<0.9 (curved)
particle,320000,mean,0.1,"0.1,0.2,0.3",6e-05,0.00011,Rq2,0.00010445451634881868,0.6760952568808926,0.00015449674477929431,0.6026833258725384,50,False,R2<0.9 (curved)
particle,320000,mean,0.1,"0.1,0.2,0.3",7e-05,0.00012,Rq2,0.0001224239602972605,0.844659978757802,0.00014493874858058638,0.7927522502052491,51,False,R2<0.9 (curved)
particle,320000,mean,0.2,"0.1,0.2,0.3",4e-05,9e-05,Rq2,0.00028576001970369855,2.4695300952082704,0.00011571432972538797,0.8562919590835322,50,False,R2<0.9 (curved)
particle,320000,mean,0.2,"0.1,0.2,0.3",5e-05,0.0001,Rq2,0.00023601025689943937,1.82734656540168,0.00012915462308462573,0.9140107187603925,50,True,
particle,320000,mean,0.2,"0.1,0.2,0.3",6e-05,0.00011,Rq2,0.00022120250705779645,1.6667544209453085,0.00013271451647468277,0.9319005539984513,50,True,
particle,320000,mean,0.2,"0.1,0.2,0.3",7e-05,0.00012,Rq2,0.00022463767274689443,1.6655385421576188,0.0001348738963770169,0.9279378998290878,51,True,
particle,320000,mean,0.3,"0.1,0.2,0.3",4e-05,9e-05,Rq2,0.0004912996174055855,4.5873575334753145,0.00010709861043540335,0.9075833722625205,50,True,
particle,320000,mean,0.3,"0.1,0.2,0.3",5e-05,0.0001,Rq2,0.00039159072933453334,3.241280897763313,0.00012081357391911187,0.9711108599354378,50,True,
particle,320000,mean,0.3,"0.1,0.2,0.3",6e-05,0.00011,Rq2,0.0003590143761692331,2.8585350336219877,0.00012559383458537982,0.9879775422408539,50,True,
particle,320000,mean,0.3,"0.1,0.2,0.3",7e-05,0.00012,Rq2,0.0003330502941512933,2.5340074846972134,0.00013143224562775483,0.9422396545214684,51,True,
particle,320000,mean,0.2,"0.2,0.3",4e-05,9e-05,Rq2,0.00028576001970369855,2.4695300952082704,0.00011571432972538797,0.8562919590835322,50,False,R2<0.9 (curved)
particle,320000,mean,0.2,"0.2,0.3",5e-05,0.0001,Rq2,0.00023601025689943937,1.82734656540168,0.00012915462308462573,0.9140107187603925,50,True,
particle,320000,mean,0.2,"0.2,0.3",6e-05,0.00011,Rq2,0.00022120250705779645,1.6667544209453085,0.00013271451647468277,0.9319005539984513,50,True,
particle,320000,mean,0.2,"0.2,0.3",7e-05,0.00012,Rq2,0.00022463767274689443,1.6655385421576188,0.0001348738963770169,0.9279378998290878,51,True,
particle,320000,mean,0.3,"0.2,0.3",4e-05,9e-05,Rq2,0.0004912996174055855,4.5873575334753145,0.00010709861043540335,0.9075833722625205,50,True,
particle,320000,mean,0.3,"0.2,0.3",5e-05,0.0001,Rq2,0.00039159072933453334,3.241280897763313,0.00012081357391911187,0.9711108599354378,50,True,
particle,320000,mean,0.3,"0.2,0.3",6e-05,0.00011,Rq2,0.0003590143761692331,2.8585350336219877,0.00012559383458537982,0.9879775422408539,50,True,
particle,320000,mean,0.3,"0.2,0.3",7e-05,0.00012,Rq2,0.0003330502941512933,2.5340074846972134,0.00013143224562775483,0.9422396545214684,51,True,
particle,320000,mean,0.2,0.2,4e-05,9e-05,Rq2,0.00028576001970369855,2.4695300952082704,0.00011571432972538797,0.8562919590835322,50,False,R2<0.9 (curved)
particle,320000,mean,0.2,0.2,5e-05,0.0001,Rq2,0.00023601025689943937,1.82734656540168,0.00012915462308462573,0.9140107187603925,50,True,
particle,320000,mean,0.2,0.2,6e-05,0.00011,Rq2,0.00022120250705779645,1.6667544209453085,0.00013271451647468277,0.9319005539984513,50,True,
particle,320000,mean,0.2,0.2,7e-05,0.00012,Rq2,0.00022463767274689443,1.6655385421576188,0.0001348738963770169,0.9279378998290878,51,True,
particle,320000,mean,0.3,0.3,4e-05,9e-05,Rq2,0.0004912996174055855,4.5873575334753145,0.00010709861043540335,0.9075833722625205,50,True,
particle,320000,mean,0.3,0.3,5e-05,0.0001,Rq2,0.00039159072933453334,3.241280897763313,0.00012081357391911187,0.9711108599354378,50,True,
particle,320000,mean,0.3,0.3,6e-05,0.00011,Rq2,0.0003590143761692331,2.8585350336219877,0.00012559383458537982,0.9879775422408539,50,True,
particle,320000,mean,0.3,0.3,7e-05,0.00012,Rq2,0.0003330502941512933,2.5340074846972134,0.00013143224562775483,0.9422396545214684,51,True,
particle,320000,ens,-1,,4e-05,9e-05,L2,9.407448560824082e-06,0.11523221170067913,8.163905232731586e-05,0.7715589712385641,50,False,R2<0.9 (curved)
particle,320000,ens,-1,,5e-05,0.0001,L2,4.339023585982789e-06,0.04603122398864835,9.426261589422054e-05,0.7611236608691883,50,False,R2<0.9 (curved)
particle,320000,ens,-1,,6e-05,0.00011,L2,2.126265845114741e-06,0.01945364826456703,0.00010929907933965951,0.8222700642789633,50,False,R2<0.9 (curved)
particle,320000,ens,-1,,7e-05,0.00012,L2,1.2510149196730153e-06,0.01001504329809451,0.0001249135807441828,0.8676231234533565,51,False,R2<0.9 (curved)
