seed,method,m,group,is_late,amplitude,cx,cy,M_ref,M_method,E_m,local_L2,local_eff
0,minvar_branch,0,0,0,1.0,-2.356194490192345,-2.356194490192345,1.4861616682098324,1.7903462383576096,0.20467798130884718,0.35826241309168516,907.0
0,minvar_branch,1,1,0,1.0,-0.7853981633974483,-2.356194490192345,1.8535266577160097,2.3785746606625353,0.28326973381300646,0.365234370911492,1205.0
0,minvar_branch,2,0,0,1.0,0.7853981633974483,-2.356194490192345,1.4861616682098326,1.2988399391833596,0.12604397827869754,0.26744223359175173,658.0
0,minvar_branch,3,1,0,1.0,2.356194490192345,-2.356194490192345,1.8535266577160097,1.7173111657895483,0.07348990172836874,0.2343515054414238,870.0
0,minvar_branch,4,2,0,1.0,-2.356194490192345,-0.7853981633974483,3.5622238102196824,4.538044103620887,0.2739357057245165,0.3393280191472434,2299.0
0,minvar_branch,5,3,1,1.0,-0.7853981633974483,-0.7853981633974483,3.9032420187383265,4.068250934129034,0.04227483578997853,0.22008914579256195,2061.0
0,minvar_branch,6,2,0,1.0,0.7853981633974483,-0.7853981633974483,3.562223810219683,3.3773786260527787,0.051890390389453006,0.14392337275258274,1711.0
0,minvar_branch,7,3,1,1.0,2.356194490192345,-0.7853981633974483,3.903242018738327,4.528174499219798,0.1601060035430425,0.25500219880084085,2294.0
0,minvar_branch,8,0,0,1.0,-2.356194490192345,0.7853981633974483,1.4861616682098329,1.3442401194283706,0.09549536353767951,0.26929773794021217,681.0
0,minvar_branch,9,1,0,1.0,-0.7853981633974483,0.7853981633974483,1.853526657716009,1.6896762734664983,0.08839925963158998,0.24064147328979552,856.0
0,minvar_branch,10,0,0,1.0,0.7853981633974483,0.7853981633974483,1.4861616682098324,1.5416322074501578,0.03732470055370415,0.2533004371991192,781.0
0,minvar_branch,11,1,0,1.0,2.356194490192345,0.7853981633974483,1.853526657716009,1.9462859878948215,0.050044778041182514,0.2249640210125819,986.0
0,minvar_branch,12,2,0,1.0,-2.356194490192345,2.356194490192345,3.562223810219683,3.294473949083628,0.07516368296902225,0.15836125995127934,1669.0
0,minvar_branch,13,3,1,1.0,-0.7853981633974483,2.356194490192345,3.9032420187383354,5.603961378938538,0.4357196791886184,0.5172182074883505,2839.0
0,minvar_branch,14,2,0,1.0,0.7853981633974483,2.356194490192345,3.5622238102196824,3.8234847449820175,0.07334208872918155,0.23917190649562375,1937.0
0,minvar_branch,15,3,1,1.0,2.356194490192345,2.356194490192345,3.903242018738335,4.001137624201626,0.025080588135022855,0.21349083900286603,2027.0
0,weighted,0,0,0,1.0,-2.356194490192345,-2.356194490192345,1.4861616682098324,1.5189294455512952,0.02204859541353494,1.1000244561305341,30.117196613954032
0,weighted,1,1,0,1.0,-0.7853981633974483,-2.356194490192345,1.8535266577160097,1.8179332649538302,0.019203064932467196,1.0349125990564456,27.14605678845946
0,weighted,2,0,0,1.0,0.7853981633974483,-2.356194490192345,1.4861616682098326,1.5763516935893336,0.06068655066856893,1.328118180774535,24.382747728781187
0,weighted,3,1,0,1.0,2.356194490192345,-2.356194490192345,1.8535266577160097,1.856044384441367,0.0013583439519881371,1.2030567922155426,27.38999768216044
0,weighted,4,2,0,1.0,-2.356194490192345,-0.7853981633974483,3.5622238102196824,4.042092794675516,0.1347105095078908,1.1737051062841766,31.645636253985277
0,weighted,5,3,1,1.0,-0.7853981633974483,-0.7853981633974483,3.9032420187383265,2.5020460162629545,0.3589826087515554,0.8401370062869957,27.197258999299706
0,weighted,6,2,0,1.0,0.7853981633974483,-0.7853981633974483,3.562223810219683,4.3258690485425975,0.21437317782562926,1.2820729757314437,30.50444105078243
0,weighted,7,3,1,1.0,2.356194490192345,-0.7853981633974483,3.903242018738327,4.845613879626463,0.2414331103129357,1.2164159450993366,36.912049806798024
0,weighted,8,0,0,1.0,-2.356194490192345,0.7853981633974483,1.4861616682098329,1.8222558906391424,0.22614916641885557,1.2391343775096468,32.8076590726149
0,weighted,9,1,0,1.0,-0.7853981633974483,0.7853981633974483,1.853526657716009,1.3854275678619847,0.2525451079461868,1.0323004499831594,22.228482723777773
0,weighted,10,0,0,1.0,0.7853981633974483,0.7853981633974483,1.4861616682098324,1.5877334661443996,0.06834505296918085,1.3798312702521236,23.857121681958144
0,weighted,11,1,0,1.0,2.356194490192345,0.7853981633974483,1.853526657716009,2.174142830189232,0.17297629421111166,1.5032962170194293,31.289115175367026
0,weighted,12,2,0,1.0,-2.356194490192345,2.356194490192345,3.562223810219683,4.030433102653347,0.1314373597443304,1.0660712285254137,29.92751758401086
0,weighted,13,3,1,1.0,-0.7853981633974483,2.356194490192345,3.9032420187383354,3.6037649294146132,0.07672521659841212,0.7746078731368834,31.911289686292502
0,weighted,14,2,0,1.0,0.7853981633974483,2.356194490192345,3.5622238102196824,3.8202144166899883,0.07242403066594394,1.3620461051758754,24.74681097362761
0,weighted,15,3,1,1.0,2.356194490192345,2.356194490192345,3.903242018738335,2.7580288349702347,0.2934005061101165,0.8552848444676758,25.2289705913578
0,weighted_ess_resample,0,0,0,1.0,-2.356194490192345,-2.356194490192345,1.4861616682098324,1.3768804631446903,0.07353251493612918,0.28031969016131936,308.99999999999994
0,weighted_ess_resample,1,1,0,1.0,-0.7853981633974483,-2.356194490192345,1.8535266577160097,2.0408131136578276,0.10104330313360578,0.360465082231775,458.00000000000017
0,weighted_ess_resample,2,0,0,1.0,0.7853981633974483,-2.356194490192345,1.4861616682098326,1.6843392073420482,0.1333485739616282,0.4084740333408222,377.9999999999999
0,weighted_ess_resample,3,1,0,1.0,2.356194490192345,-2.356194490192345,1.8535266577160097,1.63532404522363,0.11772294268551702,0.31180026771229313,366.99999999999994
0,weighted_ess_resample,4,2,0,1.0,-2.356194490192345,-0.7853981633974483,3.5622238102196824,3.324121513861615,0.06684091428364904,0.26453297994940844,745.9999999999841
0,weighted_ess_resample,5,3,1,1.0,-0.7853981633974483,-0.7853981633974483,3.9032420187383265,3.330538300073349,0.1467251366724364,0.4236645013164425,258.83314460079936
0,weighted_ess_resample,6,2,0,1.0,0.7853981633974483,-0.7853981633974483,3.562223810219683,2.6601883973851255,0.25322255447473657,0.3489851940472768,596.9999999999873
0,weighted_ess_resample,7,3,1,1.0,2.356194490192345,-0.7853981633974483,3.903242018738327,4.3043569142913825,0.10276454640204727,0.6013906093762118,297.9442946827317
0,weighted_ess_resample,8,0,0,1.0,-2.356194490192345,0.7853981633974483,1.4861616682098329,1.577397035447315,0.06138993434501672,0.40196290677632535,353.99999999999983
0,weighted_ess_resample,9,1,0,1.0,-0.7853981633974483,0.7853981633974483,1.853526657716009,1.3412330725131132,0.2763885715213639,0.3984294909827323,300.9999999999999
0,weighted_ess_resample,10,0,0,1.0,0.7853981633974483,0.7853981633974483,1.4861616682098324,1.6130444260788928,0.08537614755055414,0.3819314262471993,361.9999999999999
0,weighted_ess_resample,11,1,0,1.0,2.356194490192345,0.7853981633974483,1.853526657716009,2.1655789808683497,0.1683559941548746,0.38989531906414837,486.00000000000017
0,weighted_ess_resample,12,2,0,1.0,-2.356194490192345,2.356194490192345,3.562223810219683,4.255410288173797,0.19459374673916557,0.284933269766101,954.9999999999818
0,weighted_ess_resample,13,3,1,1.0,-0.7853981633974483,2.356194490192345,3.9032420187383354,3.989074328047244,0.02199000443653059,0.4904520608174939,306.3203574309727
0,weighted_ess_resample,14,2,0,1.0,0.7853981633974483,2.356194490192345,3.5622238102196824,3.43551967083369,0.035568831756862124,0.29432463574296186,770.9999999999839
0,weighted_ess_resample,15,3,1,1.0,2.356194490192345,2.356194490192345,3.903242018738335,3.0740254257464876,0.21244303812344162,0.4267968895205463,220.1600959333489
0,weighted_ess_resample_costmatched,0,0,0,1.0,-2.356194490192345,-2.356194490192345,1.4861616682098324,1.5450766815275974,0.03964239865554565,0.27729982949976567,562.9999999999995
0,weighted_ess_resample_costmatched,1,1,0,1.0,-0.7853981633974483,-2.356194490192345,1.8535266577160097,1.7893250379324959,0.034637548651512584,0.21958468511114662,652.0
0,weighted_ess_resample_costmatched,2,0,0,1.0,0.7853981633974483,-2.356194490192345,1.4861616682098326,1.5560541357480422,0.047028845537645345,0.28889757247349523,566.9999999999995
0,weighted_ess_resample_costmatched,3,1,0,1.0,2.356194490192345,-2.356194490192345,1.8535266577160097,1.3666930504453725,0.26265260617860936,0.33008919492514327,497.99999999999983
0,weighted_ess_resample_costmatched,4,2,0,1.0,-2.356194490192345,-0.7853981633974483,3.5622238102196824,3.411246638946566,0.04238284266136706,0.20568174430252953,1242.9999999999661
0,weighted_ess_resample_costmatched,5,3,1,1.0,-0.7853981633974483,-0.7853981633974483,3.9032420187383265,4.566982907098144,0.17004861219811393,0.38148739622610345,524.5739286894899
0,weighted_ess_resample_costmatched,6,2,0,1.0,0.7853981633974483,-0.7853981633974483,3.562223810219683,3.855833970114082,0.08242327701366194,0.19840680441533362,1404.9999999999645
0,weighted_ess_resample_costmatched,7,3,1,1.0,2.356194490192345,-0.7853981633974483,3.903242018738327,3.165527729383075,0.18900039654566664,0.3879000995694647,378.7659804134554
0,weighted_ess_resample_costmatched,8,0,0,1.0,-2.356194490192345,0.7853981633974483,1.4861616682098329,1.6987610406138238,0.14305265500494244,0.3455227580139912,618.9999999999995
0,weighted_ess_resample_costmatched,9,1,0,1.0,-0.7853981633974483,0.7853981633974483,1.853526657716009,1.803046855708052,0.027234462368164892,0.2676993050374676,657.0
0,weighted_ess_resample_costmatched,10,0,0,1.0,0.7853981633974483,0.7853981633974483,1.4861616682098324,1.5752646806338204,0.059955127581320086,0.3082740344158269,573.9999999999994
0,weighted_ess_resample_costmatched,11,1,0,1.0,2.356194490192345,0.7853981633974483,1.853526657716009,1.907332670802277,0.02902899338527456,0.23574044347778916,694.9999999999999
0,weighted_ess_resample_costmatched,12,2,0,1.0,-2.356194490192345,2.356194490192345,3.562223810219683,4.5117373298506465,0.26655077564382657,0.3419647487715421,1643.999999999956
0,weighted_ess_resample_costmatched,13,3,1,1.0,-0.7853981633974483,2.356194490192345,3.9032420187383354,2.617470003131865,0.32941129692544074,0.5976722599046839,334.6492941303855
0,weighted_ess_resample_costmatched,14,2,0,1.0,0.7853981633974483,2.356194490192345,3.5622238102196824,3.652750819267919,0.025413060456370883,0.16982212758426926,1330.9999999999657
0,weighted_ess_resample_costmatched,15,3,1,1.0,2.356194490192345,2.356194490192345,3.903242018738335,3.741676274011058,0.041392704821183714,0.3758445630825194,439.96242858193915
1,minvar_branch,0,0,0,1.0,-2.356194490192345,-2.356194490192345,1.4861616682098324,1.6047976756171298,0.0798271210629469,0.23333034431995037,813.0
1,minvar_branch,1,1,0,1.0,-0.7853981633974483,-2.356194490192345,1.8535266577160097,1.9502338296552573,0.052174686313070935,0.20566677684310833,988.0
1,minvar_branch,2,0,0,1.0,0.7853981633974483,-2.356194490192345,1.4861616682098326,1.1744829237296337,0.20972061865626904,0.2923640207717106,595.0
1,minvar_branch,3,1,0,1.0,2.356194490192345,-2.356194490192345,1.8535266577160097,1.926546779092643,0.03939523668173816,0.21839581580269074,976.0
1,minvar_branch,4,2,0,1.0,-2.356194490192345,-0.7853981633974483,3.5622238102196824,3.3813264678132144,0.050782138361854356,0.1777745910956412,1713.0
1,minvar_branch,5,3,1,1.0,-0.7853981633974483,-0.7853981633974483,3.9032420187383265,3.866911004346811,0.009307907174882071,0.21905408850510147,1959.0
1,minvar_branch,6,2,0,1.0,0.7853981633974483,-0.7853981633974483,3.562223810219683,3.9636331274774865,0.11268503570892946,0.2248337837561071,2008.0
1,minvar_branch,7,3,1,1.0,2.356194490192345,-0.7853981633974483,3.903242018738327,2.647027900372166,0.32183864396197903,0.44099316873986905,1341.0
1,minvar_branch,8,0,0,1.0,-2.356194490192345,0.7853981633974483,1.4861616682098329,1.2277787874955162,0.17385920135159572,0.29086560483062335,622.0
1,minvar_branch,9,1,0,1.0,-0.7853981633974483,0.7853981633974483,1.853526657716009,1.881146598847632,0.014901291555017251,0.22036793634778942,953.0
1,minvar_branch,10,0,0,1.0,0.7853981633974483,0.7853981633974483,1.4861616682098324,1.3126573853448846,0.11674657379230062,0.2514891629940599,665.0
1,minvar_branch,11,1,0,1.0,2.356194490192345,0.7853981633974483,1.853526657716009,1.7133633240291126,0.0756198100002572,0.2544429808169715,868.0
1,minvar_branch,12,2,0,1.0,-2.356194490192345,2.356194490192345,3.562223810219683,4.030746437404894,0.1315253201781046,0.22301051681247966,2042.0
1,minvar_branch,13,3,1,1.0,-0.7853981633974483,2.356194490192345,3.9032420187383354,3.645831865762409,0.06594778180296651,0.24881668092909542,1847.0
1,minvar_branch,14,2,0,1.0,0.7853981633974483,2.356194490192345,3.5622238102196824,3.712945175689817,0.04231103195642261,0.20220877000125173,1881.0
1,minvar_branch,15,3,1,1.0,2.356194490192345,2.356194490192345,3.903242018738335,3.282630423802321,0.1589990044062442,0.24424437394320989,1663.0
1,weighted,0,0,0,1.0,-2.356194490192345,-2.356194490192345,1.4861616682098324,1.7566708149355483,0.18201865416940796,1.313876974837532,30.387843257255035
1,weighted,1,1,0,1.0,-0.7853981633974483,-2.356194490192345,1.8535266577160097,2.203271451275047,0.18869153680800418,1.3951105367358942,28.730110854285307
1,weighted,2,0,0,1.0,0.7853981633974483,-2.356194490192345,1.4861616682098326,1.9525397674123908,0.3138138394891704,1.8345567278153434,26.10561666448403
1,weighted,3,1,0,1.0,2.356194490192345,-2.356194490192345,1.8535266577160097,2.6904516260818148,0.45153112035469606,1.6211400458325098,34.49474878412808
1,weighted,4,2,0,1.0,-2.356194490192345,-0.7853981633974483,3.5622238102196824,3.4726037680948623,0.0251584535108964,1.3516238167157089,25.211670264440595
1,weighted,5,3,1,1.0,-0.7853981633974483,-0.7853981633974483,3.9032420187383265,2.7189600398056792,0.3034098252804348,0.9104424085451228,25.43920430322371
1,weighted,6,2,0,1.0,0.7853981633974483,-0.7853981633974483,3.562223810219683,3.1797156120583776,0.1073790470615365,1.0279115167851776,29.061339326276094
1,weighted,7,3,1,1.0,2.356194490192345,-0.7853981633974483,3.903242018738327,4.845341968595239,0.24136344744552474,1.1692996228499348,34.76258576139748
1,weighted,8,0,0,1.0,-2.356194490192345,0.7853981633974483,1.4861616682098329,1.1809165765514766,0.20539157898349072,1.04285455089705,25.54527043680041
1,weighted,9,1,0,1.0,-0.7853981633974483,0.7853981633974483,1.853526657716009,1.7005695358845523,0.08252221309831967,1.1079231092515496,25.881934338265125
1,weighted,10,0,0,1.0,0.7853981633974483,0.7853981633974483,1.4861616682098324,0.9900175454421387,0.33384263191589914,1.2573383307625166,25.040604101794266
1,weighted,11,1,0,1.0,2.356194490192345,0.7853981633974483,1.853526657716009,2.067510173120036,0.11544668889073667,1.2434833139135992,27.004435328635648
1,weighted,12,2,0,1.0,-2.356194490192345,2.356194490192345,3.562223810219683,4.1173397693471605,0.15583410495851005,1.34901193800749,26.966333876827154
1,weighted,13,3,1,1.0,-0.7853981633974483,2.356194490192345,3.9032420187383354,3.626781126543266,0.07082852942960256,1.0171275210569743,36.463402428627326
1,weighted,14,2,0,1.0,0.7853981633974483,2.356194490192345,3.5622238102196824,4.939049828757785,0.38650744363341777,1.6734090176072876,35.050377037754295
1,weighted,15,3,1,1.0,2.356194490192345,2.356194490192345,3.903242018738335,4.716668075481072,0.20839754563967963,1.1361844646314967,34.23531323260783
1,weighted_ess_resample,0,0,0,1.0,-2.356194490192345,-2.356194490192345,1.4861616682098324,1.5791254439024607,0.06255293598347783,0.40043872739617226,342.99999999999994
1,weighted_ess_resample,1,1,0,1.0,-0.7853981633974483,-2.356194490192345,1.8535266577160097,2.0303041421603103,0.0953735861895469,0.32412596541432265,441.00000000000006
1,weighted_ess_resample,2,0,0,1.0,0.7853981633974483,-2.356194490192345,1.4861616682098326,1.5699177153665864,0.056357292041883146,0.3164599502351767,341.00000000000006
1,weighted_ess_resample,3,1,0,1.0,2.356194490192345,-2.356194490192345,1.8535266577160097,1.7816954716917008,0.038753791711213965,0.36023885265190553,386.99999999999994
1,weighted_ess_resample,4,2,0,1.0,-2.356194490192345,-0.7853981633974483,3.5622238102196824,3.2641439542978845,0.08367802580697906,0.25942544446449606,708.9999999999447
1,weighted_ess_resample,5,3,1,1.0,-0.7853981633974483,-0.7853981633974483,3.9032420187383265,4.880335324841374,0.25032865023800915,0.5922586235538745,302.0352838916671
1,weighted_ess_resample,6,2,0,1.0,0.7853981633974483,-0.7853981633974483,3.562223810219683,3.9501206168827747,0.10889175619742159,0.3014048263643104,857.9999999999403
1,weighted_ess_resample,7,3,1,1.0,2.356194490192345,-0.7853981633974483,3.903242018738327,4.792124646562702,0.22772931413350977,0.5101714759596656,306.4792227862119
1,weighted_ess_resample,8,0,0,1.0,-2.356194490192345,0.7853981633974483,1.4861616682098329,1.31670518063004,0.11402291635196922,0.35665042599806285,286.0
1,weighted_ess_resample,9,1,0,1.0,-0.7853981633974483,0.7853981633974483,1.853526657716009,1.9428307210695035,0.04818061989113154,0.31999781188021525,422.00000000000006
1,weighted_ess_resample,10,0,0,1.0,0.7853981633974483,0.7853981633974483,1.4861616682098324,1.4179901945246587,0.045870832994428,0.38345971381947,308.0
1,weighted_ess_resample,11,1,0,1.0,2.356194490192345,0.7853981633974483,1.853526657716009,1.91520753546188,0.03327757790215801,0.35631955289991046,416.0
1,weighted_ess_resample,12,2,0,1.0,-2.356194490192345,2.356194490192345,3.562223810219683,4.309222478937925,0.2097000942431449,0.4193699428719723,935.9999999999342
1,weighted_ess_resample,13,3,1,1.0,-0.7853981633974483,2.356194490192345,3.9032420187383354,2.8829436719013177,0.2613976642849356,0.5445496455953465,204.68027152222038
1,weighted_ess_resample,14,2,0,1.0,0.7853981633974483,2.356194490192345,3.5622238102196824,4.138879348421756,0.16188077137312462,0.29344629622983803,898.9999999999474
1,weighted_ess_resample,15,3,1,1.0,2.356194490192345,2.356194490192345,3.903242018738335,4.661176019452522,0.1941806316583919,0.6207363017242541,290.71357329813026
1,weighted_ess_resample_costmatched,0,0,0,1.0,-2.356194490192345,-2.356194490192345,1.4861616682098324,1.7297734659085116,0.16392011912951812,0.3366404480058344,615.9999999999999
1,weighted_ess_resample_costmatched,1,1,0,1.0,-0.7853981633974483,-2.356194490192345,1.8535266577160097,1.881409451556339,0.015043103763442894,0.25605878563454865,670.0000000000001
1,weighted_ess_resample_costmatched,2,0,0,1.0,0.7853981633974483,-2.356194490192345,1.4861616682098326,1.482662970778724,0.002354183603270448,0.29202461409722513,527.9999999999999
1,weighted_ess_resample_costmatched,3,1,0,1.0,2.356194490192345,-2.356194490192345,1.8535266577160097,2.215570234743211,0.19532687890948716,0.31487117380208013,789.0000000000001
1,weighted_ess_resample_costmatched,4,2,0,1.0,-2.356194490192345,-0.7853981633974483,3.5622238102196824,3.5409847258408553,0.005962310486470312,0.18556015849422178,1260.9999999999352
1,weighted_ess_resample_costmatched,5,3,1,1.0,-0.7853981633974483,-0.7853981633974483,3.9032420187383265,3.7295925169142556,0.04448853055752892,0.3687023266213939,405.848777324836
1,weighted_ess_resample_costmatched,6,2,0,1.0,0.7853981633974483,-0.7853981633974483,3.562223810219683,3.5971463545183044,0.009803579493919544,0.15863689698481234,1280.9999999999372
1,weighted_ess_resample_costmatched,7,3,1,1.0,2.356194490192345,-0.7853981633974483,3.903242018738327,4.1945394826775075,0.07462961879912809,0.3848329063115899,449.2472567097155
1,weighted_ess_resample_costmatched,8,0,0,1.0,-2.356194490192345,0.7853981633974483,1.4861616682098329,1.5023194874367753,0.010872181386837614,0.26609233822437195,534.9999999999999
1,weighted_ess_resample_costmatched,9,1,0,1.0,-0.7853981633974483,0.7853981633974483,1.853526657716009,1.763470351608031,0.04858646393516079,0.2281580391015666,628.0
1,weighted_ess_resample_costmatched,10,0,0,1.0,0.7853981633974483,0.7853981633974483,1.4861616682098324,1.5219760040948267,0.024098546376946132,0.28081742080821265,542.0
1,weighted_ess_resample_costmatched,11,1,0,1.0,2.356194490192345,0.7853981633974483,1.853526657716009,1.6427231778514302,0.11373102134087429,0.2619531959907769,585.0
1,weighted_ess_resample_costmatched,12,2,0,1.0,-2.356194490192345,2.356194490192345,3.562223810219683,3.998701374257396,0.12252951731598115,0.2337916559389557,1423.9999999999338
1,weighted_ess_resample_costmatched,13,3,1,1.0,-0.7853981633974483,2.356194490192345,3.9032420187383354,4.322525576741569,0.10741930835709762,0.31011565420461185,463.097307843305
1,weighted_ess_resample_costmatched,14,2,0,1.0,0.7853981633974483,2.356194490192345,3.5622238102196824,4.186842540081314,0.17534516727153976,0.32004641645941717,1490.99999999993
